,Run No,Pressure (kg/cm2a),Mass Flux (106kg/m2h),Power (kW),Inlet Temperature (°C),Fluid Density (kg/m3),Void Fraction
0,1.1221,169.1,10.95,49.9,329.7,554,0.087
1,1.1222,169.1,10.98,50.0,334.7,517,0.142
2,1.1223,169.1,11.0,49.9,339.7,434,0.332
3,1.2121,150.1,14.8,79.9,309.5,602,0.063
4,1.2122,149.9,14.89,80.1,319.7,507,0.218
5,1.2211,150.1,10.91,90.0,295.4,610,0.038
6,1.2212,150.1,10.88,90.0,299.4,581,0.079
7,1.2221,150.1,10.88,69.8,299.4,621,0.048
8,1.2223,150.1,10.91,69.8,319.6,456,0.311
9,1.2231,150.2,10.87,60.0,299.3,651,0.013
10,1.2233,150.2,10.89,59.9,309.6,602,0.06
11,1.2234,150.1,10.92,60.1,314.6,579,0.08
12,1.2235,150.1,10.89,59.9,319.6,492,0.25
13,1.2236,150.0,10.91,60.0,324.7,455,0.308
14,1.2237,150.3,10.93,60.0,329.6,390,0.44
15,1.2421,150.2,5.02,59.8,268.9,615,0.053
16,1.2422,150.1,5.0,60.0,284.1,522,0.182
17,1.2423,150.3,4.93,59.9,299.3,357,0.508
18,1.3221,125.0,11.1,59.9,294.4,636,0.053
19,1.3222,125.1,10.91,60.0,309.5,447,0.357
20,1.3223,124.9,11.1,60.1,319.7,339,0.546
21,1.4121,100.1,10.97,69.9,274.1,635,0.097
22,1.4122,99.8,10.9,69.8,304.5,286,0.636
23,1.4311,100.4,5.01,79.9,214.2,563,0.215
24,1.4312,100.2,5.03,79.8,248.9,331,0.566
25,1.4321,100.5,5.01,59.9,209.3,718,0.045
26,1.4323,100.5,5.03,59.9,229.2,684,0.047
27,1.4324,100.1,5.02,60.1,238.9,600,0.157
28,1.4325,100.3,5.03,59.8,253.8,478,0.335
29,1.4326,100.1,5.02,60.1,268.8,353,0.531
30,1.4327,100.1,4.96,59.9,289.0,253,0.688
31,1.4411,100.4,1.99,19.9,253.7,599,0.152
32,1.4412,100.3,1.99,20.0,284.0,370,0.504
33,1.5221,75.5,5.02,49.9,219.2,718,0.047
34,1.5222,75.0,5.02,50.0,243.9,448,0.411
35,1.5223,75.6,5.03,49.9,263.8,284,0.647
36,1.6211,50.4,5.02,79.7,164.1,499,0.373
37,1.6212,50.4,5.0,79.8,199.3,243,0.711
38,1.6221,50.5,5.01,50.0,189.2,737,0.075
39,1.6222,50.0,5.0,49.9,204.2,549,0.306
40,1.6223,50.5,5.03,49.9,239.0,238,0.718
41,1.6311,50.6,1.95,20.1,204.1,498,0.372
42,1.6312,50.6,1.96,20.1,238.9,266,0.68
